Year,Expenditure (in millions)
1970,19550
1971,20700
1972,23210
1973,24980
1974,26620
1975,27900
1976,33300
1977,37440
1978,43330
1979,48780
1980,53550
1981,60430
1982,66580
1983,75850
1984,87820
1985,94750
1986,102140
1987,109650
1988,118050
1989,123930
