Time,Population
1,9.6
2,18.3
3,29
4,47.2
5,71.1
6,119.1
7,174.6
8,257.3
9,350.7
10,441
11,513.3
12,559.7
13,594.8
14,629.4
15,640.8
16,651.1
17,655.9
18,659.6
