Date,Open,High,Low,Close*,Adj Close**,Volume
2/1/1992,3223.4,3293.38,3207.96,3267.7,3267.7,411150000
3/1/1992,3267.7,3299.64,3188.28,3235.5,3235.5,402410000
4/1/1992,3235.5,3366.5,3161.23,3359.1,3359.1,458300000
5/1/1992,3359.1,3440.67,3324.02,3396.9,3396.9,388240000
6/1/1992,3396.9,3422.28,3254.05,3318.5,3318.5,475360000
7/1/1992,3318.8,3402.96,3266.53,3393.8,3393.8,449770000
8/1/1992,3393.8,3399.99,3207.1,3257.4,3257.4,363380000
9/1/1992,3257.4,3376.49,3242.76,3271.7,3271.7,436570000
10/1/1992,3271.7,3280.85,3095.79,3226.3,3226.3,530760000
11/1/1992,3226.3,3308.41,3184.67,3305.2,3305.2,452340000
12/1/1992,3305.2,3352.71,3248.16,3301.11,3301.11,510650000
1/1/1993,3301.1,3320.83,3231.95,3310,3310,620010000
2/1/1993,3310,3456.73,3266.8,3370.81,3370.81,577510000
3/1/1993,3370.8,3482.12,3343.26,3435.11,3435.11,586100000
4/1/1993,3435.1,3481.58,3363.79,3427.55,3427.55,645990000
5/1/1993,3439.4,3565.07,3415.33,3527.43,3527.43,472660000
6/1/1993,3527.4,3569.78,3462.66,3516.08,3516.08,461140000
7/1/1993,3516.1,3583.5,3449.9,3539.47,3539.47,500980000
8/1/1993,3539.5,3663.83,3536.96,3651.25,3651.25,526610000
9/1/1993,3651.3,3655.72,3507.06,3555.12,3555.12,487790000
10/1/1993,3555.1,3708.82,3553.72,3680.59,3680.59,529130000
11/1/1993,3680.6,3717.76,3600.67,3683.95,3683.95,576680000
12/1/1993,3685.1,3799.92,3685.06,3754.09,3754.09,517250000
1/1/1994,3754.1,3985.96,3742.81,3978.36,3978.36,619530000
2/1/1994,3978.4,3982.02,3632.02,3832.02,3832.02,508560000
3/1/1994,3832,3895.94,3559.09,3635.96,3635.96,667490000
4/1/1994,3634.5,3710.84,3552.47,3681.69,3681.69,566680000
5/1/1994,3681.7,3772.79,3623.1,3758.37,3758.37,533470000
6/1/1994,3758.4,3823.39,3610.4,3624.96,3624.96,554560000
7/1/1994,3625,3770,3623.02,3764.5,3764.5,450610000
8/1/1994,3764.5,3939.32,3736.33,3913.42,3913.42,625170000
9/1/1994,3913.1,3992.64,3820.31,3843.19,3843.19,591450000
10/1/1994,3843.2,3949.84,3747.97,3908.12,3908.12,636250000
